,14,"₱58,800.00","₱41,150.00","₱79,300.00","₱24,400.00","₱13,200.00","₱96,200.00","₱44,500.00",-,"₱19,500.00","₱22,900.00","₱16,900.00",,,"₱416,850.00"
,15,"₱18,400.00","₱47,200.00","₱59,300.00","₱9,500.00","₱17,050.00","₱38,400.00","₱22,000.00","₱36,300.00","₱25,000.00",-,"₱80,200.00",,,"₱353,350.00"
,16,"₱12,500.00","₱69,000.00","₱79,750.00","₱19,300.00","₱25,000.00","₱43,600.00","₱22,300.00","₱51,000.00","₱24,200.00","₱44,300.00","₱41,150.00",,,"₱432,100.00"
,17,"₱18,000.00","₱44,700.00","₱29,600.00",CLOSED,"₱49,400.00",-,"₱27,250.00","₱77,820.00",-,"₱22,500.00","₱74,300.00",,,"₱343,570.00"
,18,"₱153,450.00","₱63,400.00","₱14,300.00",CLOSED,"₱53,600.00","₱9,100.00","₱70,600.00","₱4,700.00","₱15,900.00","₱87,200.00","₱38,500.00",,,"₱510,750.00"
,19,"₱28,800.00","₱42,550.00","₱23,325.00",- ,"₱32,500.00",-,"₱8,400.00","₱25,700.00","₱153,500.00","₱40,500.00","₱13,000.00",,,"₱368,275.00"
,20,"₱52,250.00",-,"₱13,750.00","₱41,200.00","₱16,300.00","₱5,800.00","₱65,900.00",-,"₱111,400.00","₱56,400.00","₱30,100.00",,,"₱393,100.00"
,21,"₱36,700.00","₱42,100.00","₱62,900.00","₱49,400.00","₱11,200.00","₱67,500.00","₱54,500.00","₱12,000.00","₱40,500.00",-,"₱34,400.00",,,"₱411,200.00"
,22,"₱95,500.00","₱72,675.00","₱47,100.00","₱3,700.00",-,-,-,"₱53,600.00","₱31,800.00",-,"₱73,300.00",,,"₱377,675.00"
,23,"₱25,000.00","₱66,900.00",-,"₱8,700.00","₱44,300.00","₱50,800.00","₱16,400.00","₱56,800.00",-,"₱24,700.00","₱42,800.00",,,"₱336,400.00"
,24,"₱37,950.00","₱25,900.00","₱63,875.00","₱35,025.00","₱69,850.00","₱11,500.00","₱30,700.00","₱63,500.00",-,"₱20,370.00","₱23,200.00",,,"₱381,870.00"
,25,"₱102,300.00","₱58,900.00","₱3,900.00","₱37,250.00","₱29,000.00",-,"₱10,300.00","₱41,800.00","₱13,600.00","₱14,300.00","₱27,800.00",,,"₱339,150.00"
,26,"₱43,800.00","₱16,250.00","₱106,700.00","₱85,100.00","₱23,200.00","₱29,500.00","₱47,300.00","₱6,200.00","₱102,800.00",-,-,,,"₱460,850.00"
,27,"₱47,600.00","₱8,700.00","₱35,000.00",-,"₱3,000.00","₱21,900.00","₱28,875.00",-,"₱82,900.00","₱24,600.00","₱29,200.00",,,"₱281,775.00"
,28,"₱12,700.00","₱83,500.00","₱44,600.00","₱64,200.00","₱8,700.00","₱103,100.00","₱20,200.00",-,-,"₱55,900.00","₱31,500.00",,,"₱424,400.00"
,29,"₱121,800.00",NO 29,"₱45,900.00","₱3,600.00","₱20,000.00",-,"₱17,000.00","₱10,000.00","₱47,800.00","₱6,500.00","₱103,500.00",,,"₱376,100.00"
,30,-,NO 30,-,"₱8,600.00","₱21,400.00","₱33,300.00","₱9,800.00","₱53,400.00","₱14,300.00","₱22,100.00","₱24,200.00",,,"₱187,100.00"
,31,"₱24,650.00",NO 31,"₱31,200.00",NO 31,"₱43,650.00",NO 31,"₱11,500.00","₱12,100.00",NO 31,"₱29,600.00",NO 31,,,"₱152,700.00"
,TOTAL INCOME,"₱1,376,860.00","₱1,194,325.00","₱1,359,160.00","₱798,550.00","₱836,600.00","₱889,450.00","₱847,445.00","₱870,640.00","₱1,197,005.00","₱953,545.00","₱1,020,350.00",₱0.00,,"₱11,343,930.00"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,EXPENSES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,,YEAR END TOTAL
,EXPENSE DESCRIPTION,,,,,,,,,,,,,,
,Doc Oh Salary,"₱124,001.20","₱132,372.00","₱82,502.00","₱63,835.00","₱57,250.00","₱68,294.00","₱36,542.00","₱33,692.20","₱61,600.00","₱47,585.00","₱49,500.00",,,"₱757,173.40"
,Doc Clency Salary,"₱65,730.00","₱81,360.00","₱75,950.00","₱50,700.00","₱58,420.00","₱51,150.00","₱99,695.20","₱62,800.00","₱65,230.00","₱54,260.00","₱70,580.00",,,"₱735,875.20"
,Doc Pio Salary,"₱18,720.00","₱21,755.00","₱54,611.00","₱33,692.00","₱33,517.00","₱46,285.00","₱54,400.00","₱36,917.00","₱35,675.00","₱46,116.00","₱34,840.00",,,"₱416,528.00"
,Doc Fatima Salary,"₱19,000.00","₱14,420.00","₱17,215.00","₱30,670.00","₱37,210.00","₱22,780.00","₱21,240.00","₱20,907.00","₱32,670.00","₱28,775.00","₱10,050.00",,,"₱254,937.00"
,Doc Jonathan Salary,"₱7,500.00","₱10,000.00","₱5,000.00","₱6,250.00","₱12,500.00","₱7,250.00","₱14,000.00","₱17,550.00","₱17,300.00","₱17,250.00","₱14,000.00",,,"₱128,600.00"
,Doc Shirley Salary,-,-,-,-,-,-,-,"₱19,160.00","₱33,750.00","₱28,400.00","₱39,160.00",,,
,Jezel Salary,"₱11,150.00","₱15,383.00","₱15,503.00","₱13,416.00","₱13,583.00","₱12,333.00","₱15,683.00","₱12,850.00","₱13,316.00","₱14,782.00","₱14,432.00",,,"₱152,431.00"
,Mich Salary,"₱4,050.00","₱4,750.00","₱5,440.00","₱5,440.00","₱5,440.00","₱5,700.00","₱5,525.00","₱5,700.00","₱6,700.00","₱6,200.00","₱6,700.00",,,"₱61,645.00"
,Mhay Salary,"₱13,800.00","₱14,483.00","₱18,083.00","₱14,216.00","₱16,383.00","₱15,533.00","₱16,783.00","₱13,316.00","₱17,716.00","₱14,182.00","₱14,124.00",,,"₱168,619.00"
,Eds Salary,"₱14,850.00","₱15,233.00","₱16,983.00","₱13,566.00","₱14,333.00","₱14,183.00","₱14,283.00","₱16,550.00","₱16,066.00","₱18,432.00","₱14,532.00",,,"₱169,011.00"
,Laboratories,"₱19,800.00","₱49,800.00","₱47,050.00","₱13,200.00","₱25,400.00",,"₱5,000.00",₱500.00,"₱37,800.00","₱11,300.00",,,,"₱209,850.00"
,Clinic Expenses,,,,,"₱5,748.75","₱1,706.50","₱9,595.50","₱3,713.25","₱4,594.45","₱8,384.75",₱82.00,,,
,Dental Supplies,"₱65,603.45","₱57,969.40","₱76,319.85","₱23,184.25","₱57,226.75","₱23,021.00","₱24,690.00","₱2,593.00","₱37,736.51","₱41,538.00",₱396.00,,,"₱410,278.21"
,Office Supplies,₱0.00,"₱2,147.00","₱3,226.00","₱1,683.00",₱995.50,"₱1,584.50",₱228.00,"₱2,112.00","₱1,070.25",₱786.50,₱218.00,,,"₱14,050.75"
,Misc.,₱0.00,"₱1,713.00","₱1,600.00",₱920.00,₱910.00,"₱3,096.00","₱1,424.00","₱1,754.00","₱1,306.75","₱1,417.00",₱761.75,,,"₱14,902.50"
,Rent,"₱41,522.50","₱41,522.50","₱41,522.50","₱41,522.50","₱41,522.50","₱41,522.50","₱41,522.50","₱41,522.50","₱41,522.50","₱41,522.50","₱41,522.50",,,"₱456,747.50"
,BIR/DENR,"₱1,718.00","₱1,770.00","₱5,669.95","₱5,629.95","₱3,627.50",,"₱5,302.50",,,"₱1,677.86",,,,"₱25,395.76"
,Electricity/Water Bill,"₱7,641.45","₱7,078.66","₱7,792.49","₱8,946.93","₱9,533.72","₱9,170.61","₱6,620.92","₱7,775.40","₱6,582.45","₱6,360.20",,,,"₱77,502.83"
,Laptop,-,-,-,"₱30,000.00",-,-,-,-,-,-,-,-,,"₱30,000.00"
,Wifi,"₱1,744.00","₱1,744.00","₱1,744.00","₱1,744.00","₱1,744.00","₱1,744.00","₱1,724.00","₱1,734.00","₱1,724.00","₱1,734.00",,,,"₱17,380.00"
,Maintenance,-,-,-,-,-,"₱1,000.00",-,,,,,,,"₱1,000.00"
,Hauler (TOESI),,,,,,,,,"₱2,508.00",,,,,"₱2,508.00"
,Che Salary,,,,,,,,,"₱5,000.00",,,,,"₱5,000.00"
,,,,,,,,,,,,,,,₱0.00
,,,,,,,,,,,,,,,₱0.00
,,,,,,,,,,,,,,,₱0.00
,,,,,,,,,,,,,,,₱0.00
,,,,,,,,,,,,,,,
,TOTAL EXPENSES,"₱416,830.60","₱473,500.56","₱476,211.79","₱358,615.63","₱395,344.72","₱326,353.11","₱374,258.62","₱301,146.35","₱439,867.91","₱390,702.81","₱310,898.25",₱0.00,,"₱4,263,730.35"
